term,factor,base_value,label,lr,episodes,auc_mavg,final100_mean,final100_std,episodes_to_threshold,per_seed_files
reward_per_hit,0.5,50.0,reward_per_hit_x0.5,0.0005,500,51083.46419427642,119.93960115860882,17.104996752504242,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_reward_per_hit_x0.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_reward_per_hit_x0.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_reward_per_hit_x0.5_seed12347.npy']"
reward_per_hit,1.5,50.0,reward_per_hit_x1.5,0.0005,500,139871.17692764837,320.9098052496238,17.414645624107138,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_reward_per_hit_x1.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_reward_per_hit_x1.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_reward_per_hit_x1.5_seed12347.npy']"
idle_penalty,0.5,-0.01,idle_penalty_x0.5,0.0005,500,97974.9070172312,203.02306657640528,40.28891219613138,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_idle_penalty_x0.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_idle_penalty_x0.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_idle_penalty_x0.5_seed12347.npy']"
idle_penalty,1.5,-0.01,idle_penalty_x1.5,0.0005,500,96545.25650760374,216.9905044771713,21.292768973408517,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_idle_penalty_x1.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_idle_penalty_x1.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_idle_penalty_x1.5_seed12347.npy']"
edge_penalty,0.5,-0.05,edge_penalty_x0.5,0.0005,500,97219.94513314072,205.1034263234103,37.53118620560344,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_edge_penalty_x0.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_edge_penalty_x0.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_edge_penalty_x0.5_seed12347.npy']"
edge_penalty,1.5,-0.05,edge_penalty_x1.5,0.0005,500,93003.93979721863,207.6424087590973,42.7810391293228,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_edge_penalty_x1.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_edge_penalty_x1.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_edge_penalty_x1.5_seed12347.npy']"
center_penalty_scale,0.5,0.1,center_penalty_scale_x0.5,0.0005,500,100081.9715087776,208.26285340866445,44.07651725679087,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_center_penalty_scale_x0.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_center_penalty_scale_x0.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_center_penalty_scale_x0.5_seed12347.npy']"
center_penalty_scale,1.5,0.1,center_penalty_scale_x1.5,0.0005,500,95271.18801999728,222.42771862599668,8.496175643903996,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_center_penalty_scale_x1.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_center_penalty_scale_x1.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_center_penalty_scale_x1.5_seed12347.npy']"
missed_shot_penalty,0.5,-0.05,missed_shot_penalty_x0.5,0.0005,500,94149.98111883173,195.93370592416818,22.24453957864544,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_missed_shot_penalty_x0.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_missed_shot_penalty_x0.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_missed_shot_penalty_x0.5_seed12347.npy']"
missed_shot_penalty,1.5,-0.05,missed_shot_penalty_x1.5,0.0005,500,96632.67694888833,209.5270403180621,25.835702138486507,100.0,"['results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_missed_shot_penalty_x1.5_seed12345.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_missed_shot_penalty_x1.5_seed12346.npy', 'results_sensitivity_v2/20250817_175727/reward_sensitivity/rewards_missed_shot_penalty_x1.5_seed12347.npy']"
